hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
605.3.1.1,alpha duplicates or obligate multimers,ROP-like,"Nonstructural protein ns2, Nep, M1-binding domain","Nonstructural protein ns2, Nep, M1-binding domain",Flu_NS2
330.4.1.1,a+b two layers,dsRBD-like,"Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain","Porphobilinogen deaminase (hydroxymethylbilane synthase), C-terminal domain",Porphobil_deamC
7523.1.1.6,a/b three-layered sandwiches,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Periplasmic binding protein-like II,Porphobil_deam
385.1.1.5,few secondary structure elements,Cystine-knot cytokines,Cystine-knot cytokines,Cystine-knot cytokines,PDGF
2010.1.1.3,a/b three-layered sandwiches,EDD domain,EDD domain,EDD domain,EIIA-man
1074.1.1.2,alpha arrays,Alpha helical domain of ribonucleotide reductases,Alpha helical domain of ribonucleotide reductases,Alpha helical domain of ribonucleotide reductases,"Ribonuc_red_lgN,RNR_N"
2500.1.1.2,a/b barrels,Ten stranded beta/alpha barrel,Ten stranded beta/alpha barrel,Ten stranded beta/alpha barrel,Ribonuc_red_lgC
301.7.1.1,a+b three layers,Bacillus chorismate mutase-like,YjgF-like,YjgF-like,Ribonuc_L-PSP
2007.1.4.1,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Phosphofructokinase N-terminal domain,PFK
7572.1.1.1,a/b three-layered sandwiches,Phosphofructokinase C-terminal domain,Phosphofructokinase C-terminal domain,Phosphofructokinase C-terminal domain,PFK
11.15.1.1,beta sandwiches,Immunoglobulin-like beta-sandwich,Perfringolysin O beta sandwich domain,Perfringolysin O beta sandwich domain,Thiol_cytolys_C
5089.1.1.1,beta complex topology,Membrane attack complex/perforin (MACPF) and cholesterol-dependent cytolysin (CDC) domains,Membrane attack complex/perforin (MACPF) and cholesterol-dependent cytolysin (CDC) domains,Membrane attack complex/perforin (MACPF) and cholesterol-dependent cytolysin (CDC) domains,Thiol_cytolysin
2.1.1.90,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,ssDBP
140.1.1.8,alpha bundles,Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases,"tRNA-synt_1g,Anticodon_3"
2005.1.1.29,a/b three-layered sandwiches,HUP domain-like,HUP domains,HUP domains,tRNA-synt_1g
375.1.1.46,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Rubredoxin-related,tRNA-synt_1g
7584.1.1.2,a/b three-layered sandwiches,Rossmann-like domain in Acetyl-CoA synthetase-like proteins,Rossmann-like domain in Acetyl-CoA synthetase-like proteins,Rossmann-like domain in Acetyl-CoA synthetase-like proteins,"AMP-binding,ACAS_N"
304.38.1.1,a+b two layers,Alpha-beta plaits,"Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain","Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain",PyrI
375.1.4.1,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,"Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain",PyrI_C
10.12.1.6,beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,AIM24
129.1.1.1,alpha arrays,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,6PGD
10.2.1.24,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Como_LCP
10.2.1.47,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),N-glycanase_C
103.1.1.10,alpha arrays,RuvA-C,"RuvA-C, UBA, CRAL/TRIO-N, HBS1","RuvA-C, UBA, CRAL/TRIO-N, HBS1",Ubiq-assoc
4.1.1.0,beta barrels,SH3,SH3,SH3,NO_F_NAME
304.8.1.2,a+b two layers,Alpha-beta plaits,ACT-like,ACT-like,ACT
633.3.1.1,alpha bundles,Bromodomain-like,Mob1/phocein,Mob1/phocein,Mob1_phocein
212.1.1.4,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,"GHMP_kinases_N,GalKase_gal_bdg"
284.1.1.3,a+b two layers,FKBP-like,FKBP-like,FKBP-like,Rotamase
1.1.8.3,beta barrels,cradle loop barrel,RIFT-related,Aminomethyltransferase beta-barrel domain,GCV_T_C
2003.1.2.14,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,FAD/NAD(P)-binding domain,"DAO,FAO_M"
304.107.1.1,a+b two layers,Alpha-beta plaits,Aminomethyltransferase folate-binding domain,Aminomethyltransferase folate-binding domain,GCV_T
2003.1.11.2,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,Formate/glycerate dehydrogenase catalytic domain-like,"AlaDh_PNT_C,AlaDh_PNT_N"
4049.1.1.1,alpha superhelices,alpha-helical domain in siroheme synthase middle domains-like,alpha-helical domain in siroheme synthase middle domains-like,alpha-helical domain in siroheme synthase middle domains-like,CysG_dimeriser
5.1.3.23,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,6-bladed,SGL
2003.1.5.51,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,S-adenosyl-L-methionine-dependent methyltransferases,TPMT
70.2.1.5,beta barrels,beta-clip,dUTPase-like,dUTPase-like,DCD
330.1.1.2,a+b two layers,dsRBD-like,dsRNA-binding domain-like,dsRNA-binding domain-like,Ribosomal_S5
212.1.1.16,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal_S5_C
7543.1.1.1,a/b three-layered sandwiches,Methylglyoxal synthase-like,Methylglyoxal synthase-like,Methylglyoxal synthase-like,"AICARFT_IMPCHas,MGS"
11.1.1.193,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,CDH-cyt
4.6.1.2,beta barrels,SH3,PRC-barrel domain,PRC-barrel domain,PRC
10.32.1.35,beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,YpM
10.12.1.62,beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,PMI_typeI_cat
10.12.1.5,beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,PMI_typeI_C
3691.1.1.1,alpha arrays,Phosphomannose isomerase helical insertion domain,Phosphomannose isomerase helical insertion domain,Phosphomannose isomerase helical insertion domain,PMI_typeI_hel
2485.1.1.30,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,Phe_hydrox_dim
222.1.1.20,a+b two layers,Thioesterase/thiol ester dehydrase-isomerase-like,Thioesterase/thiol ester dehydrase-isomerase,Thioesterase/thiol ester dehydrase-isomerase,MFE-2_hydrat-2_N
110.1.1.4,alpha arrays,DEATH domain,DEATH domain,DEATH domain,PYRIN
371.1.1.2,few secondary structure elements,"Phospholipase A2, PLA2","Phospholipase A2, PLA2","Phospholipase A2, PLA2",Phospholip_A2_2
101.1.2.126,alpha arrays,HTH,HTH,winged,IBD
309.1.1.1,a+b two layers,"LuxS, MPP, ThrRS/AlaRS common domain","LuxS, MPP, ThrRS/AlaRS common domain",LuxS/MPP-like metallohydrolase,Peptidase_M16
5068.1.1.1,alpha bundles,a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Cytochrom_B_C
5069.1.1.1,alpha bundles,Transmembrane heme-binding four-helical bundle,Transmembrane heme-binding four-helical bundle,Transmembrane di-heme cytochromes,Cytochrome_B
107.1.1.2,alpha arrays,Cytochrome c-like,Cytochrome c,Cytochrome c,Cytochrom_C1
5013.1.1.0,extended segments,cytochrome c1 transmembrane anchor,cytochrome c1 transmembrane anchor,cytochrome c1 transmembrane anchor,NO_F_NAME
5014.1.1.1,extended segments,iron-sulfur subunit (ISP) transmembrane anchor,iron-sulfur subunit (ISP) transmembrane anchor,iron-sulfur subunit (ISP) transmembrane anchor,UCR_TM
5070.1.1.1,alpha arrays,14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),UCR_14kD
5016.1.1.1,extended segments,Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),UcrQ
5071.1.1.1,alpha bundles,cytochrome bc1 complex 11 kDa protein-like,Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),UCR_hinge
5017.1.1.1,extended segments,Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),UCR_UQCRX_QCR9
569.1.1.1,alpha bundles,Peridinin-chlorophyll protein,Peridinin-chlorophyll protein,Peridinin-chlorophyll protein,PCP
1.1.2.6,beta barrels,cradle loop barrel,RIFT-related,double psi,Asp_decarbox
2007.1.14.4,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Chelatase-like,ZnuA
237.1.1.7,a+b complex topology,ADP-ribosylation,ADP-ribosylation,ADP-ribosylation,Pertussis_S1
2.2.1.4,beta barrels,OB-fold,Bacterial enterotoxins,Bacterial enterotoxins,Pertussis_S2S3
209.1.1.5,a+b complex topology,C-type lectin-like,C-type lectin-like,C-type lectin-like,APT
2.2.1.7,beta barrels,OB-fold,Bacterial enterotoxins,Bacterial enterotoxins,Pertus-S4-tox
2.2.1.8,beta barrels,OB-fold,Bacterial enterotoxins,Bacterial enterotoxins,Pertus-S5-tox
7512.1.1.7,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,UDP-Glycosyltransferase/glycogen phosphorylase,Glyco_transf_9
7510.1.1.5,a/b three-layered sandwiches,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,Isocitrate/Isopropylmalate dehydrogenase-like,PdxA
878.1.1.1,a+b two layers,Hypothetical protein MTH677,Hypothetical protein MTH677,Hypothetical protein MTH677,DUF3194
811.1.1.1,a+b complex topology,Cell cycle regulatory proteins,Cell cycle regulatory proteins,Cell cycle regulatory proteins,CKS
101.1.1.36,alpha arrays,HTH,HTH,tri-helical,Homeobox_KN
108.1.1.12,alpha arrays,EF-hand,EF-hand-related,EF-hand,p25-alpha
516.1.1.1,alpha arrays,"YgfY-like (DUP399, Pfam03937)","YgfY-like (DUP399, Pfam03937)","YgfY-like (DUP399, Pfam03937)",Sdh5
192.9.1.1,alpha bundles,Long alpha-hairpin,Sporulation inhibitor Sda,Sporulation inhibitor Sda,Sda
804.1.1.1,a+b four layers,Hypothetical protein YwqG,Hypothetical protein YwqG,Hypothetical protein YwqG,DUF1963
5050.1.1.3,alpha complex topology,Major facilitator superfamily (MFS) general substrate transporter,Major facilitator superfamily (MFS) general substrate transporter,Major facilitator superfamily (MFS) general substrate transporter,LacY_symp
375.1.5.1,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Hypothetical protein Ta0289-C,DUF1936
5050.1.1.9,alpha complex topology,Major facilitator superfamily (MFS) general substrate transporter,Major facilitator superfamily (MFS) general substrate transporter,Major facilitator superfamily (MFS) general substrate transporter,MFS_1
209.1.1.3,a+b complex topology,C-type lectin-like,C-type lectin-like,C-type lectin-like,"Lectin_C,Surfac_D-trimer"
102.1.3.5,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,PAP/OAS1 substrate-binding domain,OAS1_C
316.1.1.20,a+b three layers,Nucleotidyltransferase-like,Nucleotidyltransferase,Nucleotidyltransferase,OAS1_C
387.1.5.9,few secondary structure elements,omega toxin-like,omega toxin-related,Scorpion toxin-like,Toxin_17
907.1.1.1,few secondary structure elements,CCHHC domain,CCHHC domain,CCHHC domain,zf-C2HC
303.1.1.2,a+b four layers,Pyruvoyl-dependent histidine and arginine decarboxylases,Pyruvoyl-dependent histidine and arginine decarboxylases,Pyruvoyl-dependent histidine and arginine decarboxylases,HDC
373.1.1.1,few secondary structure elements,Zn2/Cys6 DNA-binding domain,Zn2/Cys6 DNA-binding domain,Zn2/Cys6 DNA-binding domain,Zn_clus
3702.1.1.1,beta complex topology,Penicillin binding protein dimerisation domain,Penicillin binding protein dimerisation domain,Penicillin binding protein dimerisation domain,PBP_dimer
294.2.1.1,a+b two layers,CI-2 family of serine protease inhibitors-like,Penicillin-binding protein 2x (pbp-2x)-C,Penicillin-binding protein 2x (pbp-2x)-C,PASTA
308.2.1.0,a+b two layers,ClpS-like,Penicillin binding protein ClpS-like domain,Penicillin binding protein ClpS-like domain,NO_F_NAME
165.4.1.1,alpha duplicates or obligate multimers,Dimerisation interlock,Docking domain A of the erythromycin polyketide synthase (DEBS),Docking domain A of the erythromycin polyketide synthase (DEBS),Erythro-docking
105.1.1.6,alpha duplicates or obligate multimers,HLH-like,"HLH, helix-loop-helix DNA-binding domain","HLH, helix-loop-helix DNA-binding domain",Docking
6051.1.1.0,alpha duplicates or obligate multimers,Docking domains in modular polyketide synthases,Class 1 C-terminal docking domain,Class 1 C-terminal docking domain,NO_F_NAME
6051.2.1.1,alpha duplicates or obligate multimers,Docking domains in modular polyketide synthases,Class 1 N-terminal docking domain,Class 1 N-terminal docking domain,Docking
7516.1.1.13,a/b three-layered sandwiches,Nucleotide-diphospho-sugar transferases,Nucleotide-diphospho-sugar transferases,Nucleotide-diphospho-sugar transferases,"Glyco_transf_7C,Glyco_transf_7N"
377.1.1.18,few secondary structure elements,Glucocorticoid receptor-like,LIM domain-like,LIM domain-like,zf-AD
101.1.9.17,alpha arrays,HTH,HTH,Putative DNA-binding domain,MerR_1
101.1.9.14,alpha arrays,HTH,HTH,Putative DNA-binding domain,MerR-DNA-bind
166.1.1.1,alpha superhelices,1-deoxy-D-xylulose-5-phosphate reductoisomerase-C,1-deoxy-D-xylulose-5-phosphate reductoisomerase-C,1-deoxy-D-xylulose-5-phosphate reductoisomerase-C,DXPR_C
2003.1.1.33,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,DXP_reductoisom
298.1.1.10,a+b two layers,FwdE/GAPDH domain-like,"Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain","Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain",DXP_redisom_C
210.1.3.2,a+b four layers,Ntn/PP2C,Ntn,Class II glutamine amidotransferases,CarA_N
101.1.2.31,alpha arrays,HTH,HTH,winged,TFIIE_alpha
101.7.1.1,alpha arrays,HTH,DEK-C,DEK-C,DEK_C
165.3.1.1,alpha duplicates or obligate multimers,Dimerisation interlock,Phenylalanine zipper,Phenylalanine zipper,Phe_ZIP
309.1.1.8,a+b two layers,"LuxS, MPP, ThrRS/AlaRS common domain","LuxS, MPP, ThrRS/AlaRS common domain",LuxS/MPP-like metallohydrolase,Peptidase_M16_M
309.1.1.11,a+b two layers,"LuxS, MPP, ThrRS/AlaRS common domain","LuxS, MPP, ThrRS/AlaRS common domain",LuxS/MPP-like metallohydrolase,PqqF-like_C_4
309.1.1.6,a+b two layers,"LuxS, MPP, ThrRS/AlaRS common domain","LuxS, MPP, ThrRS/AlaRS common domain",LuxS/MPP-like metallohydrolase,"Peptidase_M16_C,Peptidase_M16_M"
213.1.1.31,a+b three layers,Nat/Ivy,Acyl-CoA N-acyltransferases (Nat),Acyl-CoA N-acyltransferases (Nat),Acetyltransf_10
267.1.1.3,a+b complex topology,"Metal cation-transporting ATPase, ATP-binding domain","Metal cation-transporting ATPase, ATP-binding domain","Metal cation-transporting ATPase, ATP-binding domain",Cation_ATPase
2498.5.1.1,mixed a+b and a/b,Zincin-like,GroEL-intermediate domain like,GroEL-intermediate domain like,Cpn60_TCP1
274.1.1.10,a+b two layers,Pili subunits,Pili subunits,Pili subunits,PilS
304.8.1.4,a+b two layers,Alpha-beta plaits,ACT-like,ACT-like,NikR_C
555.1.1.1,alpha arrays,"Invasion protein A (SipA) , C-terminal actin binding domain","Invasion protein A (SipA) , C-terminal actin binding domain","Invasion protein A (SipA) , C-terminal actin binding domain",SipA_2nd
4305.1.1.1,a+b two layers,GTF2I-like repeat,GTF2I-like repeat,GTF2I-like repeat,GTF2I
220.1.1.13,beta barrels,PH domain-like,PH domain-like,PH domain-like,DCP1
7567.1.1.1,a/b three-layered sandwiches,LmbE-like,LmbE-like,LmbE-like,PIG-L
304.20.1.1,a+b two layers,Alpha-beta plaits,"PAP/Archaeal CCA-adding enzyme, C-terminal domain","PAP/Archaeal CCA-adding enzyme, C-terminal domain",PAP_RNA-bind
7527.1.1.2,a/b three-layered sandwiches,SurE-like/CoA-transferase family III (CaiB/BaiF),SurE-like/CoA-transferase family III (CaiB/BaiF),SurE-like/CoA-transferase family III (CaiB/BaiF),CoA_transf_3
5.1.3.7,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,6-bladed,NHL
243.6.1.1,a+b two layers,Cystatin-like,Pre-PUA domain,Pre-PUA domain,DUF1947
108.1.1.22,alpha arrays,EF-hand,EF-hand-related,EF-hand,IBP39
214.1.1.5,a+b two layers,SH2,SH2,SH2,IBP39
195.1.1.2,alpha complex topology,NusB-like,NusB-like,NusB-like,DUF1948
185.1.3.1,alpha superhelices,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin/Protein HNS-dependent expression A HdeA,GDNF receptor,GDNF
393.1.1.0,few secondary structure elements,GLA-domain,GLA-domain,GLA-domain,NO_F_NAME
2.1.1.112,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,DNApolII_N
304.114.1.1,a+b two layers,Alpha-beta plaits,Family B DNA polymerase insertion domain,Family B DNA polymerase insertion domain,DNApolII_insertion
304.19.1.1,a+b two layers,Alpha-beta plaits,"eIF-2-alpha, C-terminal domain","eIF-2-alpha, C-terminal domain",EIF_2_alpha
301.4.1.1,a+b three layers,Bacillus chorismate mutase-like,Holliday junction resolvase RusA,Holliday junction resolvase RusA,RusA
5024.1.1.1,extended segments,"Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor","Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor","Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor",Apocytochr_F_C
5106.1.1.1,extended segments,PetG subunit of the cytochrome b6f complex,PetG subunit of the cytochrome b6f complex,PetG subunit of the cytochrome b6f complex,PetG
5025.1.1.1,extended segments,PetL subunit of the cytochrome b6f complex,PetL subunit of the cytochrome b6f complex,PetL subunit of the cytochrome b6f complex,PetL
5015.1.1.1,extended segments,PetM subunit of the cytochrome b6f complex,PetM subunit of the cytochrome b6f complex,PetM subunit of the cytochrome b6f complex,PetM
5026.1.1.1,extended segments,PetN subunit of the cytochrome b6f complex,PetN subunit of the cytochrome b6f complex,PetN subunit of the cytochrome b6f complex,PetN
5014.1.1.0,extended segments,iron-sulfur subunit (ISP) transmembrane anchor,iron-sulfur subunit (ISP) transmembrane anchor,iron-sulfur subunit (ISP) transmembrane anchor,NO_F_NAME
2006.1.1.10,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,NT5C
148.1.1.0,alpha arrays,Histone-like,Histone-related,Histone,NO_F_NAME
323.1.1.0,a+b complex topology,CoA-dependent acyltransferases,CoA-dependent acyltransferases,CoA-dependent acyltransferases,NO_F_NAME
323.1.1.11,a+b complex topology,CoA-dependent acyltransferases,CoA-dependent acyltransferases,CoA-dependent acyltransferases,PapA_C
103.17.1.0,alpha arrays,RuvA-C,HMG-CoA reductase flap domain,HMG-CoA reductase flap domain,NO_F_NAME
109.2.1.17,alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Alginate_lyase
2.2.1.5,beta barrels,OB-fold,Bacterial enterotoxins,Bacterial enterotoxins,LT-IIB
11.1.1.52,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,CHB_HEX_C
11.1.5.13,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,CHB_HEX
265.1.1.1,a+b two layers,RNA bacteriophage capsid protein,RNA bacteriophage capsid protein,RNA bacteriophage capsid protein,Levi_coat
109.4.1.204,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,HEAT_EZ
2007.1.9.1,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,"N5-CAIR mutase (phosphoribosylaminoimidazole carboxylase, PurE)",AIRC
304.27.1.2,a+b two layers,Alpha-beta plaits,Formiminotransferase domain of formiminotransferase-cyclodeaminase.,Formiminotransferase domain of formiminotransferase-cyclodeaminase.,FTCD_N
304.27.1.1,a+b two layers,Alpha-beta plaits,Formiminotransferase domain of formiminotransferase-cyclodeaminase.,Formiminotransferase domain of formiminotransferase-cyclodeaminase.,FTCD
5084.4.1.1,beta barrels,Outer membrane meander beta-barrels,Outer membrane phospholipase A (OMPLA),Outer membrane phospholipase A (OMPLA),PLA1
198.1.1.2,alpha arrays,Saposin-like,Saposin-like,Saposin-like,"SapB_2,SapB_1"
520.1.1.1,beta sandwiches,gp9 N-terminal domain-like,gp9 N-terminal domain-related,gp9 N-terminal domain-related,T4_gp9_10
3386.1.1.1,beta sandwiches,gp9 C-terminal domain-like,gp9 C-terminal domain-related,gp9 C-terminal domain-related,T4_gp9_10
2004.1.1.53,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,Adenylsucc_synt
375.1.7.1,few secondary structure elements,Rubredoxin-like,Rubredoxin-related,Casein kinase II beta subunit,CK_II_beta
2004.1.1.41,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,ADK
11.1.1.12,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Filamin
5.1.4.14,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,7-bladed,Peptidase_S9_N
7579.1.1.3,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Peptidase_S9
9.1.1.3,beta barrels,Lipocalins/Streptavidin,Lipocalins,Lipocalins,His_binding
7516.1.1.2,a/b three-layered sandwiches,Nucleotide-diphospho-sugar transferases,Nucleotide-diphospho-sugar transferases,Nucleotide-diphospho-sugar transferases,Glycos_transf_2
2007.1.14.8,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Chelatase-like,CbiK
109.4.1.55,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,"IBN_N,HEAT_EZ"
625.1.1.1,alpha arrays,Hepatitis B viral capsid (hbcag),Hepatitis B viral capsid (hbcag),Hepatitis B viral capsid (hbcag),Hepatitis_core
2485.1.1.14,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,DIM1
247.1.1.5,a+b four layers,Metallo-hydrolase/oxidoreductase,Metallo-hydrolase/oxidoreductase,Metallo-hydrolase/oxidoreductase,"Lactamase_B,HAGH_C"
180.1.1.0,alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,NO_F_NAME
10.5.1.3,beta sandwiches,jelly-roll,Viral protein domain,Viral protein domain,Rota_Capsid_VP6
617.1.1.2,alpha bundles,A virus capsid protein alpha-helical domain,A virus capsid protein alpha-helical domain,A virus capsid protein alpha-helical domain,Rota_Capsid_VP6
2004.1.1.195,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,UvrD_C
2004.1.1.49,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,UvrD-helicase
4076.1.1.2,a+b two layers,L9 N-domain-like,L9 N-domain-like,L9 N-domain-like,Cauli_VI
2004.1.1.113,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,MukB
11.1.1.29,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,TIG
2004.1.1.158,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
53.1.1.1,beta duplicates or obligate multimers,Triple beta-spiral,Triple beta-spiral,Triple beta-spiral,Adeno_shaft
5084.1.1.10,beta barrels,Outer membrane meander beta-barrels,OMPA-like,OMPA-like,OMP_b-brl
931.1.1.4,few secondary structure elements,Metallothionein,Metallothionein,Metallothionein,Metallothio_6
5084.1.1.2,beta barrels,Outer membrane meander beta-barrels,OMPA-like,OMPA-like,OmpA_membrane
152.1.1.1,alpha arrays,RPB6/omega subunit-like,RPB6/omega subunit-like,RPB6,RNA_pol_Rpb6
5.1.5.9,beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,8-bladed,Cytochrom_D1
869.1.1.1,a+b complex topology,Methenyltetrahydromethanopterin cyclohydrolase,Methenyltetrahydromethanopterin cyclohydrolase,Methenyltetrahydromethanopterin cyclohydrolase,MCH
108.1.1.2,alpha arrays,EF-hand,EF-hand-related,EF-hand,"EF-hand_1,S_100"
328.6.1.2,a+b two layers,IF3-like,EPT/RTPC-like,EPT/RTPC-like,RTC
2485.2.1.1,a+b three layers,Thioredoxin-like,"RNA 3'-terminal phosphate cyclase, RPTC, insert domain","RNA 3'-terminal phosphate cyclase, RPTC, insert domain",RTC_insert
219.1.1.30,a+b complex topology,Cysteine proteinases-like,Cysteine proteinases,Cysteine proteinases,Peptidase_C28
2484.2.1.1,mixed a+b and a/b,Ribonuclease H-like,Methylated DNA-protein cysteine methyltransferase domain,Methylated DNA-protein cysteine methyltransferase domain,Methyltransf_1N
2007.1.2.12,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,Periplasmic binding protein-like I,Peripla_BP_5
103.12.1.1,alpha arrays,RuvA-C,ANTAR domain,ANTAR domain,ANTAR
2007.1.3.14,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,CheY-like,AmiR_N
2002.1.1.43,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,His_biosynth
7579.1.1.31,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,EHN
3758.1.1.2,alpha bundles,Bacterial hemolysins-like,Bacterial hemolysins,Bacterial hemolysins,HlyE
2003.1.11.0,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,Formate/glycerate dehydrogenase catalytic domain-like,NO_F_NAME
